Links,subdir1,subdir2,subdir3,subdir4,subdir5,subdir6,subdir7,subdir8,subdir9,subdir10,subdir11
https://www.datacamp.com/courses/introduction-to-data-visualization-with-ggplot2,courses,introduction-to-data-visualization-with-ggplot2,,,,,,,,,
https://www.datacamp.com/courses/linear-algebra-for-data-science-in-r,courses,linear-algebra-for-data-science-in-r,,,,,,,,,
https://www.datacamp.com/courses/intermediate-spreadsheets,courses,intermediate-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/winning-a-kaggle-competition-in-python,courses,winning-a-kaggle-competition-in-python,,,,,,,,,
https://www.datacamp.com/courses/sentiment-analysis-in-python,courses,sentiment-analysis-in-python,,,,,,,,,
https://www.datacamp.com/courses/loan-amortization-in-spreadsheets,courses,loan-amortization-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/reporting-in-sql,courses,reporting-in-sql,,,,,,,,,
https://www.datacamp.com/courses/cluster-analysis-in-python,courses,cluster-analysis-in-python,,,,,,,,,
https://www.datacamp.com/courses/python-for-spreadsheet-users,courses,python-for-spreadsheet-users,,,,,,,,,
https://www.datacamp.com/courses/writing-efficient-code-with-pandas,courses,writing-efficient-code-with-pandas,,,,,,,,,
https://www.datacamp.com/courses/foundations-of-probability-in-python,courses,foundations-of-probability-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-statistics-in-spreadsheets,courses,introduction-to-statistics-in-spreadsheets,,,,,,,,,
https://www.datacamp.com/courses/feature-engineering-for-machine-learning-in-python,courses,feature-engineering-for-machine-learning-in-python,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-text-analysis-in-r,courses,introduction-to-text-analysis-in-r,,,,,,,,,
https://www.datacamp.com/courses/postgresql-summary-stats-and-window-functions,courses,postgresql-summary-stats-and-window-functions,,,,,,,,,
https://www.datacamp.com/courses/introduction-to-data-visualization-with-matplotlib,courses,introduction-to-data-visualization-with-matplotlib,,,,,,,,,
https://www.datacamp.com/courses/data-driven-decision-making-in-sql,courses,data-driven-decision-making-in-sql,,,,,,,,,
https://www.datacamp.com/courses/rna-seq-with-bioconductor-in-r,courses,rna-seq-with-bioconductor-in-r,,,,,,,,,
https://www.datacamp.com/courses/natural-language-processing-with-spacy,courses,natural-language-processing-with-spacy,,,,,,,,,
https://www.datacamp.com/courses/applying-sql-to-real-world-problems,courses,applying-sql-to-real-world-problems,,,,,,,,,
https://www.datacamp.com/courses/improving-your-data-visualizations-in-python,courses,improving-your-data-visualizations-in-python,,,,,,,,,
https://www.datacamp.com/courses/machine-learning-monitoring-concepts,courses,machine-learning-monitoring-concepts,,,,,,,,,
https://www.datacamp.com/courses/string-manipulation-with-stringr-in-r,courses,string-manipulation-with-stringr-in-r,,,,,,,,,
